Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
glatiramer acetate,Copaxone,1987-11-09,Treatment of multiple sclerosis,Designated/Approved,,,For reduction of the frequency of relapses in patients with relapsing-remitting multiple sclerosis.,1996-12-20,2003-12-20,,Teva Pharmaceuticals USA,1510 Delp Drive,,Kulpsville,Pennsylvania,' 19443 ' ,United States,24087.0
glecaprevir and pibrentasvir,MAVYRET,2017-01-09,Treatment of pediatric patients with chronic hepatitis C virus infection,Designated/Approved,,,"MAVYRET is indicated for the treatment of adult and pediatric patients 12 years and older or weighing at least 45 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection without cirrhosis or with compensated cirrhosis (Child-Pugh A). MAVYRET is also indicated for the treatment of adult and pediatric patients 12 years and older or weighing at least 45 kg with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor (PI), but not both.",2019-04-30,2026-04-30,"For the treatment of pediatric patients 12 years and older or weighing at least 45 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection without cirrhosis or with compensated cirrhosis (Child-Pugh A), and also for the treatment of pediatric patients 12 years and older or weighing at least 45 kg with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor (PI), but not both.","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60044 ' ,United States,550516.0
glecaprevir and pibrentasvir,Mavyret,2017-01-09,Treatment of pediatric patients with chronic hepatitis C virus infection,Designated/Approved,,,"treatment of adult and pediatric patients 3 years and older with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection without cirrhosis or with compensated cirrhosis (Child-Pugh A), and treatment of adult and pediatric patients 3 years and older with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor (PI), but not both",2021-06-10,2028-06-10,"treatment of pediatric patients 3 years of age to less than 12 years of age weighing less than 45 kg with chronic hepatitis C virus (HCV) genotype 1, 2, 3, 4, 5 or 6 infection without cirrhosis or with compensated cirrhosis (Child-Pugh A), and treatment of pediatric patients 3 years of age to less than 12 years of age weighing less than 45 kg with HCV genotype 1 infection, who previously have been treated with a regimen containing an HCV NS5A inhibitor or an NS3/4A protease inhibitor (PI), but not both","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60044 ' ,United States,550516.0
glucarpidase,Voraxaze,2003-08-19,Treatment of patients at risk of methotrexate toxicity,Designated/Approved,,,Treatment of toxic (>1 micromole/liter) plasma methotrexate concentrations in patients with delayed methotrexate clearance due to impaired renal function.,2012-01-17,2019-01-17,,BTG International Inc.,5214 Maryland Way,Suite 405,Brentwood,Tennessee,' 37027 ' ,United States,163702.0
Glutamine,NutreStore,1995-03-06,For use with human growth hormone in the treatment of short bowel syndrome (nutrient malabsorption from the gastrointestinal tract resulting from an inadequate absorptive surface).,Designated/Approved,,,Treatment of short bowel syndrome in patients receiving specialized nutritional support when used in conjunction with a recombinant human growth hormone that is approved for this indication.,2004-06-10,2011-06-10,,"Emmaus Medical, Inc.",20725 S. Western Avenue,Suite 136,Torrence,California,' 90501 ' ,United States,85794.0
glycerol phenylbutyrate,RAVICTI,2009-04-27,Maintenance treatment of patients with deficiencies in enzymes of the urea cycle,Designated/Approved,,,"Use as a nitrogen-binding agent for chronic management of adult and pediatric patients > or =2 years of age with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (eg, essential amino acids, arginine, citrulline, protein-free calorie supplements).",2013-02-01,2020-02-01,"Use as a nitrogen-binding adjunctive therapy for chronic management of adult and pediatric patients at least 2 years of age with urea cycle disorders (UCDs) that cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (eg, essential amino acids, arginine, citrulline, protein-free calorie supplements).","Horizon Pharma USA, INc.",150 South Saunders Road,Suite 400,Lake Forest,Illinois,' 60045 ' ,United States,203505.0
glycerol phenylbutyrate,RAVICTI,2009-04-27,Maintenance treatment of patients with deficiencies in enzymes of the urea cycle,Designated/Approved,,,For use as a nitrogen-binding agent for chronic management of patients 2 months of age and older with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone.,2017-04-28,2024-04-28,For use as a nitrogen-binding agent for chronic management of pediatric patients > or =2 months and,"Horizon Pharma USA, INc.",150 South Saunders Road,Suite 400,Lake Forest,Illinois,' 60045 ' ,United States,203505.0
glycopyrrolate,Cuvposa,2006-06-09,Treatment of pathologic (chronic moderate to severe) drooling in pediatric patients,Designated/Approved,,,To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),2010-07-28,2017-07-28,,"Shionogi, Inc.",300 Campus Drive,,Florham,New Jersey,' 07932 ' ,United States,204105.0
golimumab,SIMPONI ARIA®,2015-04-02,Treatment of polyarticular juvenile idiopathic arthritis in patients 0 through 18 years of age.,Designated/Approved,,,treatment of active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 years of age and older,2020-09-29,2027-09-29,treatment of active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 to 18 years of age,"Janssen Research & Development, LLC",1400 McKean Road,,Spring House,Pennsylvania,' 19477 ' ,United States,325610.0
golodirsen,VYONDYS 53,2018-05-22,Treatment of Duchenne muscular dystrophy (DMD),Designated/Approved,,,VYONDYS 53 is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping.,2019-12-12,2026-12-12,Indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping,"Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,' 02142 ' ,United States,636818.0
Gonadorelin acetate,Lutrepulse,1987-04-22,For induction of ovulation in women with hypothalamic amenorrhea due to a deficiency or absence in the quantity or pulse pattern of endogenous GnRH secretion.,Designated/Approved,,,,1989-10-10,1996-10-10,,"Ferring Laboratories, Inc.","400 Rella Boulevard, Suite 201",,Suffern,New York,' 10901 ' ,United States,17086.0
Halofantrine,Halfan,1991-11-04,Treatment of mild to moderate acute malaria caused by susceptible strains of P. falciparum and P. vivax.,Designated/Approved,,,Treatment of adults who can tolerate oral medication and who have mild to moderate malaria caused by Plasmodium falciparum or Plasmodium vivax.,1992-07-24,1999-07-24,,SmithKline Beecham Pharmaceuticals,One Franklin Plaza,P.O. Box 7929,Philadelphia,Pennsylvania,' 19101 ' ,United States,61791.0
Hemin,Panhematin,1984-03-16,"Amelioration of recurrent attacks of acute intermittent porphyria (AIP) temporarily related to the menstrual cycle in susceptible women and similar symptoms which occur in other patients with AIP, porphyria variegata and hereditary coproporphyria.",Designated/Approved,,,,1983-07-20,1990-07-20,,Abbott Laboratories,Diagnostics Division,,Abbott Park,Illinois,' 60064 ' ,United States,683.0
hepatitis B immune globulin (human),HepaGam B,2008-03-24,Prevention of hepatitis B recurrence following orthotopic liver transplant,Designated/Approved,,,Prevention of hepatitis B recurrence following liver transplantation in HBsAG-positive liver transplant patients,2007-04-06,2014-04-06,,Cangene Corporation,155 Innovation Drive,,Winnipeg,,' ' ,Canada,228506.0
Histrelin,Supprelin LA,2005-11-18,Treatment of central precocious puberty,Designated/Approved,,,Treatment of central precocious puberty,2007-05-03,2014-05-03,,"Endo Pharmaceuticals Solutions, Inc.",100 Endo Blvd,,Chadds Ford,Pennsylvania,' 19317 ' ,United States,212605.0
Histrelin acetate,Supprelin Injection,1988-08-10,Treatment of central precocious puberty.,Designated/Approved,,,Treatment of central precocious puberty.,1991-12-24,1998-12-24,,Roberts Pharmaceutical Corp.,Meridian Center III,6 Industrial Way West,Eatontown,New Jersey,' 07724 ' ,United States,16986.0
"human fibrinogen concentrate, pasteurized",RiaSTAP,2008-03-13,Treatment of fibrinogen deficient patients.,Designated/Approved,,,Treatment of acute bleeding episodes in patients with congenital fibrinogen deficiency (afibrinogenemia and hypofibrinogenemia),2009-01-16,2016-01-16,,"CSL Behring, LLC",1020 First Avenue,P.O. Box 61501,King of Prussia,Pennsylvania,' 19406 ' ,United States,245107.0
Hydrocortisone,ALKINDI® SPRINKLE,2015-05-13,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).,Designated/Approved,,,ALKINDI® SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency,2020-09-29,,,"Eton Pharmaceuticals, Inc.","21925 West Field Parkway, Suite 235",,Deer Park,Illinois,' 60010 ' ,United States,441614.0
hydrocortisone,Khindivi,2015-05-13,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).,Designated/Approved,,,replacement therapy in pediatric patients 5 years of age and older with adrenocortical insufficiency,2025-05-28,,,"Eton Pharmaceuticals, Inc.","21925 West Field Parkway, Suite 235",,Deer Park,Illinois,' 60010 ' ,United States,441614.0
Hydroxocobalamin,Cyanokit,2003-11-25,Treatment of acute cyanide poisoning,Designated/Approved,,,Treatment on known or suspected cyanide poisoning,2006-12-15,2013-12-15,,"SERB, S.A.",480 Avenue Louise,,Brussels,Brussels,' ' ,Belgium,177403.0
hydroxycarbamide (hydroxyurea),Siklos,2013-07-24,Treatment of sickle cell disease in patients under 18 years of age,Designated/Approved,,,"To reduce the frequency of painful crises and to reduce the need for blood transfusions in pediatric patients, 2 years of age and older, with sickle cell anemia with recurrent moderate to severe painful crises",2017-12-21,2024-12-21,"To reduce the frequency of painful crises and to reduce the need for blood transfusions in pediatric patients, 2 years of age and older, with sickle cell anemia with recurrent moderate to severe painful crises",Theravia Pharma,16 rue Montrosier,,Neuilly-sur-Seine,,' 992200 ' ,France,400413.0
hydroxyprogesterone caproate,Makena,2007-01-25,Prevention of preterm birth in singleton pregnancies,Designated/Approved,,,Makena auto-injector for subcutaneous injection is indicated to reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth.,2018-02-14,,,"AMAG Pharma USA, Inc.",1100 Winter Street,,Waltham,Massachusetts,' 02154 ' ,United States,218706.0
hydroxyprogesterone caproate,Makena,2007-01-25,Prevention of preterm birth in singleton pregnancies,Designated/Approved,,,To reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth,2011-02-03,2018-02-03,,"AMAG Pharma USA, Inc.",1100 Winter Street,,Waltham,Massachusetts,' 02154 ' ,United States,218706.0
hydroxyurea,Xromi,2017-03-02,Treatment of sickle cell anemia in pediatric patients,Designated/Approved,,,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises,2024-12-23,,,Nova Laboratories Limited,Martin House,Gloucester Crescent,Leicester,Wigston,' ' ,United Kingdom,555116.0
Hydroxyurea,Droxia,1990-10-01,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.,Designated/Approved,,,To reduce the frequency of painful crises and to reduce the need for blood transfusions in adult patients with sickle cell anemia with recurrent moderate to severe painful crises (generally at least 3 during the preceding 12 months).,1998-02-25,2005-02-25,,Bristol-Myers Squibb Pharmaceutical Research Institute,P.O. Box 4000,,Princeton,New Jersey,' 08543 ' ,United States,49590.0
hydroxyurea,Xromi,2017-03-02,Treatment of sickle cell anemia in pediatric patients,Designated/Approved,,,"to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients aged 6 months of age to less than 2 years, with sickle cell anemia with recurrent moderate to severe painful crises",2024-04-04,2031-04-04,"to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients aged 6 months of age to less than 2 years, with sickle cell anemia with recurrent moderate to severe painful crises",Nova Laboratories Limited,Martin House,Gloucester Crescent,Leicester,Wigston,' ' ,United Kingdom,555116.0
ibalizumab,Trogarzo,2014-10-20,Treatment of HIV-1 infection in treatment experienced adult patients with documented multi-antiretroviral class resistance and evidence of HIV-1 replication despite ongoing antiretroviral therapy,Designated/Approved,,,"TROGARZO, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen.",2018-03-06,2025-03-06,"TROGARZO, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen.",Theratechnologies Inc.,2015 Peel Street,5th Floor,Montreal,,' ' ,Canada,321910.0
ibritumomab tiuxetan,Zevalin,1994-09-06,Treatment of B-cell non-Hodgkin's lymphoma.,Designated/Approved,,,"Treatment of patients with relapsed or refractory low-grade, follicular, or transformed B-cell non-Hodgkin's lymphoma, including patients with Rituximab (Rituxan?) refractory follicular non-Hodgkin?s lymphoma",2002-02-19,2009-02-19,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,' 08520 ' ,United States,84894.0
ibrutinib,Imbruvica,2015-02-05,Treatment of splenic marginal zone lymphoma,Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),2017-01-18,2023-05-18,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,' 94080 ' ,United States,462314.0
ibrutinib,Imbruvica,2016-06-23,Treatment of chronic Graft versus Host disease,Designated/Approved,,,Treatment of adult patients with chronic graft versus host disease (cGVHD) after failure of one or more lines of systemic therapy.,2017-08-02,2024-08-02,Treatment of adult patients with chronic graft versus host disease (cGVHD) after failure of one or more lines of systemic therapy.,"Pharmacyclics, LLC",995 East Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,525616.0
ibrutinib,Imbruvica,2015-02-05,Treatment of nodal marginal zone lymphoma,Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),2017-01-18,2023-05-18,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,' 94080 ' ,United States,462214.0
ibrutinib,Imbruvica,2016-06-23,Treatment of chronic Graft versus Host disease,Designated/Approved,,,Treatment of adult and pediatric patients age 1 year and older with chronic graft-versus-host disease (cGVHD) after failure of one or more lines of systemic therapy,2022-08-24,2029-08-24,Treatment of pediatric patients age 1 year and older with chronic graft-versus-host disease (cGVHD) after failure of one or more lines of systemic therapy,"Pharmacyclics, LLC",995 East Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,525616.0
ibrutinib,Imbruvica,2016-02-02,Treatment of patients with extranodal marginal zone lymphoma (mucosa associated lymphoid tissue [MALT type] lymphoma),Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),2017-01-18,2023-05-18,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,' 94080 ' ,United States,462114.0
ibrutinib,Imbruvica,2013-10-15,Treatment of Waldenstrom's macroglobulinemia,Designated/Approved,,,Treatment of patients with Waldenstrom's macroglobulinemia,2015-01-29,2022-01-29,Treatment of patients with Waldenstrom's macroglobulinemia,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,407413.0
ibrutinib,Imbruvica,2012-12-03,Treatment of mantle cell lymphoma,Designated/Approved,,,Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,2013-11-13,2020-11-13,Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,383112.0
ibrutinib,IMBRUVICA,2013-05-30,Treatment of small lymphocytic lymphoma,Designated/Approved,,,Indicated for the treatment of patients with chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL) and indicated for the treatment of patients with chronic lymphocytic leukemia (CLL)/small lymphocytic leukemia (SLL) with 17p deletion.,2016-05-06,2023-05-06,For treatment of patients with small lymphocytic lymphoma (SLL),"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,395513.0
ibrutinib,Imbruvica,2012-04-06,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Indicated for the treatment of patients with chronic lymphocytic leukemia,2016-03-04,2023-03-04,Indicated for the treatment of patients with chronic lymphocytic leukemia without 17p deletion who have not received at least one prior therapy (first line therapy).,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,368012.0
ibrutinib,Imbruvica,2012-04-06,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy,2014-02-12,2021-02-12,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,368012.0
ibrutinib,Imbruvica,2012-04-06,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy and treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion,2014-07-28,2021-07-28,Treatment of chronic lymphocytic leukemia with 17p deletion who have not received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,' 94085 ' ,United States,368012.0
Ibuprofen lysine,NeoProfen,1996-10-29,Treatment of patent ductus arteriosus,Designated/Approved,,,"For closure of a clinically significant patent ductus arteriosus in premature infants weighing between 500 and 1500 g, who are no more than 32 weeks gestational age when usual medical management (e.g., fluid restriction, diuretics, respiratory support, etc.) is ineffective",2006-04-13,2013-04-13,,"Lundbeck, Inc.",Four Parkway North,,Deerfield,Illinois,' 60015 ' ,United States,101496.0
icatibant,Firazyr,2003-11-25,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema in adults 18 years of age and older,2011-08-25,2018-08-25,,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,176203.0
Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution,Extraneal (with 7.5% Icodextrin) Peritoneal Dialysis Solutio,1997-07-18,Treatment of those patients having end stage renal disease and requiring peritoneal dialysis treatment.,Designated/Approved,,,For use as a single daily exchange for the long (8-16 hour) dwell during continuous ambulatory peritoneal dialysis (CAPD) or automated peritoneal dialysis (APD) for the management of chronic renal failure.,2002-12-20,2009-12-20,,Baxter Healthcare Corporation,Renal Division,1620 Waukegan Road,McGaw Park,Illinois,' 60085 ' ,United States,105697.0
Idarubicin HCl for injection,Idamycin,1988-07-25,"Treatment of acute myelogenous leukemia, also referred to as acute nonlymphocytic leukemia.",Designated/Approved,,,,1990-09-27,1997-09-27,,"Adria Laboratories, Inc.",P.O. Box 16529,,Columbus,Ohio,' 43216 ' ,United States,29388.0
idarucizumab,,2015-05-28,To reverse the anticoagulant effect of dabigatran due to uncontrolled life-threatening bleeding requiring urgent intervention or a need to undergo an emergency surgery/urgent invasive procedure,Designated/Approved,,,For use in patients treated with Pradaxa® when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,2015-10-16,2022-10-16,For use in patients treated with Pradaxa® when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,"Boehringer Ingelheim Pharmaceuticals, Inc.",PO Box 368,900 Ridgebury Road,Ridgefield,Connecticut,' 06877 ' ,United States,445714.0
idecabtagene vicleucel,Abecma,2016-05-11,Treatment of multiple myeloma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody",2021-03-26,2028-03-26,"treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody","Celgene Corporation, a Bristol-Myers Squibb Company",86 Morris Avenue,,Summit,New Jersey,' 07901 ' ,United States,520416.0
idecabtagene vicleucel,Abecma,2016-05-11,Treatment of multiple myeloma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody",2024-04-04,2031-04-04,"treatment of adult patients with relapsed or refractory multiple myeloma after two or three prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody","Celgene Corporation, a Bristol-Myers Squibb Company",86 Morris Avenue,,Summit,New Jersey,' 07901 ' ,United States,520416.0
idelalisib,Zydelig,2013-09-26,Treatment of follicular lymphoma,Designated/Approved,,,Zydelig is indicated for the treatment of patients with relapsed follicular B-cell non-Hodgkin lymphoma (FL) who have received at least two prior systemic therapies.,2014-07-23,2021-07-23,Relapsed follicular B-cell non-Hodgkin lymphoma (FL) in patients who have received at least two prior systemic therapies.,"Gilead Sciences, Inc.",199 E. Blaine St,,Seattle,Washington,' 98102 ' ,United States,405813.0
idelalisib,Zydelig,2013-10-15,Treatment of chronic lymphocytic leukemia and small lymphocytic lymphoma,Designated/Approved,,,"Zydelig is indicated, in combination with rituximab, for the treatment of patients with relapsed chronic lymphocytic leukemia (CLL) for whom rituximab alone would be considered appropriate therapy due to other co-morbidities; and Zydelig is indicated for the treatment of patients with relapsed small lymphocytic lymphoma (SLL) who have received at least two prior systemic therapies.",2014-07-23,2021-07-23,"(1) Relapsed chronic lymphocytic leukemia (CLL), in combination with rituximab, in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities; and (2) Relapsed small lymphocytic lymphoma (SLL) in patients who have received at least two prior systemic therapies.","Gilead Sciences, Inc.",199 E. Blaine St,,Seattle,Washington,' 98102 ' ,United States,405913.0
idursulfase,Elaprase,2001-11-28,Long term enzyme replacement therapy for patients with mucopolysaccharidosis II (Hunter Syndrome),Designated/Approved,,,"Indicated for patients with Hunter syndrome (mucopolysaccharidosis II, MPS II). Idursulfase has been shown to improve walking capacity in these patients",2006-07-24,2013-07-24,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,147301.0
Ifosfamide,Ifex,1987-01-20,Treatment of testicular cancer.,Designated/Approved,,,"In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer.",1988-12-30,1995-12-30,,Bristol-Myers Squibb Pharmaceutical Research Institute,"5 Research Parkway, P.O. Box 5100",,Wallingford,Connecticut,' 06492 ' ,United States,17786.0
iloprost,Aurlumyn,2022-06-29,Treatment of frostbite,Designated/Approved,,,treatment of severe frostbite in adults to reduce the risk of digit amputations,2024-02-13,2031-02-13,treatment of severe frostbite in adults to reduce the risk of digit amputations,BTG International Inc.,300 Four Falls Corporate Center,"300 Conshohocken State Road, Suite 300",West Conshohocken,Pennsylvania,' 19428 ' ,United States,886722.0
Iloprost inhalation solution,Ventavis,2004-08-17,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension (WHO Group I) in patients with NYHA Class III or IV symptoms,2004-12-29,2011-12-29,,"CoTherix, Inc.",5000 Shoreline Court,,South San Francisco,California,' 94080 ' ,United States,186904.0
imatinib,Gleevec,2005-10-11,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy,2013-01-25,2020-01-25,Treatment of pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,208905.0
imatinib,Gleevec,2005-10-11,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL),2006-10-19,2013-10-19,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,208905.0
Imatinib,Gleevec,2001-01-31,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"Treatment of patients with chronic myeloid leukemia (CML) in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy",2001-05-10,2008-05-10,,Novartis Pharmaceuticals Corporation,59 Route 10,,East Hanover,New Jersey,' 07936 ' ,United States,140100.0
imatinib mesylate,Gleevec,2001-11-01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,,Treatment of patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST),2002-02-01,2009-02-01,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,149201.0
imatinib mesylate,Gleevec,2001-11-01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,,Adjuvant treatment of adult patients following complete resection Kit (CD 117) positive gastrointestinal stromal tumors (GIST).,2008-12-19,2015-12-19,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,149201.0
Imatinib mesylate,Gleevec,2005-09-09,Treatment of systemic mastocytosis without the D816V c-kit mutation,Designated/Approved,,,Treatment of adult patients with aggressive mastocytosis (ASM) without the D816V c-Kit mutation or with c-Kit mutational status unknown,2006-10-19,2013-10-19,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,209205.0
imatinib mesylate,Gleevec,2005-12-19,Treatment of dermatofibrosarcoma protuberans,Designated/Approved,,,"Treatment of adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans (DFSP)",2006-10-19,2013-10-19,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,208805.0
Imatinib mesylate,Gleevec,2005-10-05,Treatment of myeloproliferative disorders/myelodysplastic syndromes associated with platelet-derived growth factor gene re-arrangements,Designated/Approved,,,Treatment of adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements,2006-10-19,2013-10-19,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,' 07936 ' ,United States,209105.0
